,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
1154,ホンダ,N-BOXスラッシュ 660 G インディロックスタイル 4WD ワンオーナー　社外ナビ　バックカメラ　ET,126.9,119.0,ハッチバック,灰,2018,5.1万km,車検整備付,なし,保証付,660CC,札幌市白石区,北海道
1155,ダイハツ,ハイゼットカーゴ 660 デラックス ハイルーフ 4WD ナビ　PW キーレス切替式 4WD 冬タイヤ付き,63.5,58.0,ハッチバック,白,2017,8.8万km,車検整備付,なし,保証付,660CC,新発田市,新潟県
1156,ホンダ,N-BOX 660 カスタムG ターボSSパッケージ Mナビ　フルセグ　リアカメラ　前後ドラレ,109.6,99.8,ハッチバック,青,2017,3.2万km,車検整備付,なし,保証付,660CC,泉大津市,大阪府
1157,スズキ,エブリイワゴン 660 PZターボスペシャル 4WD 衝突被害軽減ブレーキ搭載車,179,169.0,ハッチバック,真珠白,2022,0.5万km,2025(R07)年12月,なし,保証付,660CC,宮崎市,宮崎県
1158,ホンダ,N-BOX 660 G L ホンダセンシング ディスプレイOD Bカメラ L電スラ 1オーナー,109,99.8,ハッチバック,青,2020,5.9万km,車検整備付,なし,保証付,660CC,鈴鹿市,三重県
1159,ダイハツ,ムーヴ 660 X リミテッドII SAIII スマートキー LEDライト ディーラー試乗車,116.3,110.0,ハッチバック,茶,2022,0.3万km,2025(R07)年02月,なし,保証付,660CC,掛川市,静岡県
1160,ホンダ,N-BOX 660 G ターボSSパッケージ ナビ　リアカメラ　ドラレコ　衝突被害軽減,81.9,74.8,ハッチバック,白真珠,2014,3.9万km,2025(R07)年10月,なし,保証付,660CC,和泉市,大阪府
1161,ホンダ,N-WGN 660 C ナビ　フルセグ　Bluetooth　DVD　CD　SD,46.5,39.8,ハッチバック,黒,2016,10.6万km,2025(R07)年01月,なし,保証付,660CC,西彼杵郡,長崎県
1162,ダイハツ,ムーヴキャンバス 660 X SAIII ナビ バックカメラ ドラレコ スペアキー,128.8,119.8,ハッチバック,赤紫,2021,0.6万km,2024(R06)年03月,なし,保証付,660CC,郡山市,福島県
1163,ダイハツ,ウェイク 660 X SA ◯ナビ/Bカメラ/Bluetooth/衝突軽減/LED,75.8,66.8,ハッチバック,茶黒,2015,5.8万km,2024(R06)年01月,なし,保証付,660CC,富山市,富山県
1164,スズキ,ハスラー 660 G 4WD 衝突軽減ブレーキ ドラレコ シートヒーター,99.8,89.3,クロカン・ＳＵＶ,赤黒II,2018,6.5万km,車検整備付,なし,保証付,660CC,札幌市東区,北海道
1165,ホンダ,N-BOX 660 G ターボSSパッケージ ,89.4,79.8,ハッチバック,白真珠,2014,0.8万km,車検整備付,なし,保証付,660CC,江戸川区,東京都
1166,スズキ,ハスラー 660 Jスタイル ディスプレイオーディオ　ワンオーナー,149.2,143.0,クロカン・ＳＵＶ,赤,2021,1.5万km,2024(R06)年11月,なし,保証付,660CC,ひたちなか市,茨城県
1167,ホンダ,N-BOX カスタム 660 G L ターボ ホンダセンシング ワンオーナー　メモリーナビ　ETC　フルセ,136.5,129.8,ハッチバック,黒,2020,4万km,2025(R07)年06月,なし,保証付,660CC,枚方市,大阪府
